seccion,titular,enlace_noticia
Sequía,Horizontal propone nueve medidas para hacer frente a la crisis hídrica que enfrenta el país,https://www.latercera.com/pulso/noticia/horizontal-propone-nueve-medidas-para-hacer-frente-a-la-crisis-hidrica-que-enfrenta-el-pais/BE2KWZOIBZEITCUBUT3IE43X2Y/
LT Sábado,"Christiana Figueres, artífice del Acuerdo de París: “Todavía podemos ayudar a la naturaleza a recuperar esa abundancia que tuvo y que nosotros le robamos: esa es la gran decisión”",https://www.latercera.com/la-tercera-sabado/noticia/christiana-figueres-artifice-del-acuerdo-de-paris-todavia-podemos-ayudar-a-la-naturaleza-a-recuperar-esa-abundancia-que-tuvo-y-que-nosotros-le-robamos-esa-es-la-gran-decision/PUKVHMDFJFGEVM4TBMBGFAHZAU/
LT Sábado,Petaluma: la ciudad de EE.UU. que prohibió las estaciones de servicio,https://www.latercera.com/la-tercera-sabado/noticia/petaluma-la-ciudad-de-eeuu-que-prohibio-las-estaciones-de-servicio/QLZPQKMEW5CFPLNOM4SK4BI5N4/
Medioambiente,Precipitaciones en la zona central: ¿seguirá lloviendo en lo que queda del año?,https://www.latercera.com/que-pasa/noticia/precipitaciones-en-la-zona-central-seguira-lloviendo-en-lo-que-queda-del-ano/HCQR4QWAO5F2DBNDJAHFDVNQO4/
Ciencia,Una advertencia de lo que podría pasarle a los humanos por el cambio climático: estudio muestra que el calor de las ciudades está agrandando a los animales,https://www.latercera.com/que-pasa/noticia/una-advertencia-de-lo-que-podria-pasarle-a-los-humanos-por-el-cambio-climatico-estudio-muestra-que-el-calor-de-las-ciudades-esta-agrandando-a-los-animales/INZZLARIJZBFXEYEUVRU6IOTP4/
Ciencia,Julio fue el mes más caluroso jamás registrado en la Tierra,https://www.latercera.com/que-pasa/noticia/julio-fue-el-mes-mas-caluroso-jamas-registrado-en-la-tierra/VL6ZURZ6KFFCNP3IM4F5QZG5FM/
Pulso PM,Una variable más a tomar en cuenta en sus decisiones de inversión: los efectos del cambio climático en el mercado,https://www.latercera.com/pulso-pm/noticia/una-variable-mas-a-tomar-en-cuenta-en-sus-decisiones-de-inversion-los-efectos-del-cambio-climatico-en-el-mercado/RUUTPTMVVZAXDPNTKTQWUJ4L3Q/
Cambio climático,Las empresas lidian con las matemáticas del cambio climático,https://www.latercera.com/pulso/noticia/las-empresas-lidian-con-las-matematicas-del-cambio-climatico/EF5XZYPMSJBJDAFFC52NAURG4Y/
Cambio climático,Riesgo climático,https://www.latercera.com/pulso/noticia/riesgo-climatico/VCF5LALCE5HFZCLI6EWIOHCZQI/
Cambio climático,El desafío de la descarbonización al 2025 sin dañar el sistema eléctrico,https://www.latercera.com/pulso/noticia/el-desafio-de-la-descarbonizacion-al-2025-sin-danar-el-sistema/H5S6J43N5BD3HFVQVM6TGKG4TE/
Cambio climático,"La nueva Enap: con utilidades y apostando al gas, hidrógeno verde y la energía solar",https://www.latercera.com/pulso/noticia/la-nueva-enap-con-utilidades-y-apostando-al-gas-hidrogeno-verde-y-la-energia-solar/T3T2UC6TBFACFA6DWX5ZHVWD34/
Cambio climático,Las metas de Latam en una industria que genera el 3% del CO2 del planeta,https://www.latercera.com/pulso/noticia/las-metas-de-latam-en-una-industria-que-genera-el-3-del-co2-del-planeta/L7TSASWBBBBGNPYBY4OJBIRN4Y/
Cambio climático,Las viñas miran al sur,https://www.latercera.com/pulso/noticia/las-vinas-miran-al-sur/U3LBMGZ3GBCO3JI4WJTQJCWB2I/
Cambio climático,Cómo las startups buscan más soluciones para el planeta,https://www.latercera.com/pulso/noticia/como-las-startups-buscan-mas-soluciones-para-el-planeta/JIBFA723TVCN5DE6DV4OWKCL2Y/
The Wall Street Journal,¿Cuánto carbono sale de un litro de Coca-Cola? Las empresas lidian con las matemáticas del cambio climático,https://www.latercera.com/pulso-pm/noticia/cuanto-carbono-sale-de-un-litro-de-coca-cola-las-empresas-lidian-con-las-matematicas-del-cambio-climatico/YDHAR3DKPNFZDETS5MKOOOPSZU/
Cambio climático,Las viñas miran al sur,https://www.latercera.com/pulso/noticia/las-vinas-miran-al-sur/U3LBMGZ3GBCO3JI4WJTQJCWB2I/
Cambio climático,Cómo las startups buscan más soluciones para el planeta,https://www.latercera.com/pulso/noticia/como-las-startups-buscan-mas-soluciones-para-el-planeta/JIBFA723TVCN5DE6DV4OWKCL2Y/
Cambio Climático,El tiempo se nos agota,https://www.latercera.com/opinion/noticia/el-tiempo-se-nos-agota/LN4QYAJ7NBG35K2CRZ7ZB5JXYQ/
Hub Sustentabilidad,Alex Godoy: “Muchas empresas no tienen idea de cuáles son las amenazas climáticas en sus operaciones”,https://www.latercera.com/pulso/noticia/alex-godoy-muchas-empresas-no-tienen-idea-de-cuales-son-las-amenazas-climaticas-en-sus-operaciones/TJUZCEP2RBHQ7NYL3J7AXL2WYM/
LT Sábado,Chile en llamas: el complejo futuro climático del país,https://www.latercera.com/la-tercera-sabado/noticia/chile-en-llamas-el-complejo-futuro-climatico-del-pais/5PI6X57TZVAEPN4Q6SNC6RHTPA/
LT Sábado,"Pablo Camus, historiador ambiental: “Los años muy secos son años críticos  en la historia”",https://www.latercera.com/la-tercera-sabado/noticia/pablo-camus-historiador-ambiental-los-anos-muy-secos-son-anos-criticos-en-la-historia/2QPKOHUZIRCCRJ6LYNCCEGT4AY/
LT Sábado,"Columna de Maisa Rojas: Informe del IPCC, acción climática aquí y ahora",https://www.latercera.com/la-tercera-sabado/noticia/columna-de-maisa-rojas-informe-del-ipcc-accion-climatica-aqui-y-ahora/DK32XSFUSND2JDMPOAN5E7GGT4/
Medioambiente,Clima semidesértico en Santiago; la desaparición de Aculeo y Peñuelas y termómetros superando los 40°C: así podría ser el clima en Chile si la temperatura sube 2°C,https://www.latercera.com/que-pasa/noticia/clima-semidesertico-en-santiago-la-desaparicion-de-aculeo-y-penuelas-y-termometros-superando-los-40c-asi-podria-ser-el-clima-en-chile-si-la-temperatura-sube-2c/JSFEIWNWAVFE5ECGFEIVF4FC3M/
La Tercera PM,Un Chile seco,https://www.latercera.com/la-tercera-pm/noticia/un-chile-seco/XUGQHMYTGVAD3AFR6IQIXJD4GQ/
Opinión,Las señales desatendidas de la crisis hídrica,https://www.latercera.com/que-pasa/noticia/las-senales-desatendidas-de-la-crisis-hidrica/CL5VLSSYYNDJ5ISF4NVT6BYFUQ/
Pulso PM,Bill Gates promete US$ 1.500 millones para los nuevos proyectos climáticos de la ley de infraestructura de EE.UU.,https://www.latercera.com/pulso-pm/noticia/bill-gates-promete-us-1500-millones-para-los-nuevos-proyectos-climaticos-de-la-ley-de-infraestructura-de-eeuu/NZOCDVS5IVCMHHYQWNVKGNG27Q/
Cambio climático,Bill Gates ofrece 1.500 millones de dólares para medioambiente si EE.UU. aprueba ley para reducir gases de efecto invernadero,https://www.latercera.com/mundo/noticia/bill-gates-ofrece-1500-millones-de-dolares-para-medioambiente-si-eeuu-aprueba-ley-para-reducir-gases-de-efecto-invernadero/JATDGEDJKBBZLKAMUT6VCEQV6Q/
Early Access,Incendios forestales y récords de temperatura: la ola de calor que sofoca al hemisferio norte,https://www.latercera.com/earlyaccess/noticia/incendios-forestales-y-records-de-temperatura-la-ola-de-calor-que-sofoca-al-hemisferio-norte/IQNRHJAOHRGRNHXUYU24YVZX4E/
Turismo,Nevados de Chillán suspende temporada de invierno por poca nieve y altas temperaturas que afectan al país,https://www.latercera.com/pulso/noticia/nevados-de-chillan-suspende-temporada-de-invierno-por-poca-nieve-y-altas-temperaturas-que-afectan-al-pais/JIGN2QXRTNFYBMDIR2XCOIPAQU/
Pulso PM,"Juan Sutil por cambio climático: “El informe del IPCC es como un golpe que a uno lo hace reflexionar, y tiene que hacer reflexionar a todos los actores económicos”",https://www.latercera.com/pulso-pm/noticia/juan-sutil-por-cambio-climatico-el-informe-del-ipcc-es-como-un-golpe-que-a-uno-lo-hace-reflexionar-y-tiene-que-hacer-reflexionar-a-todos-los-actores-economicos/CU7WWC245NBULCRSIVODDLTWN4/
